,name,team,opponent,points,salary,week
921,"Dorsett, Phillip",nwe,nyj,12.1,5600,7
922,"Johnson, Olabisi",min,det,12,4800,7
923,"Conley, Chris",jac,cin,11.8,4600,7
924,"Sutton, Courtland",den, kan,11.7,5900,7
925,"Woods, Robert",lar,atl,11.1,7300,7
926,"Tate, Golden",nyg, ari,11,6100,7
927,"Coutee, Keke",hou,ind,10.4,4900,7
928,"Edelman, Julian",nwe,nyj,10.2,6600,7
929,"Hardman, Mecole",kan,den,9.8,6100,7
930,"Patterson, Cordarrelle",chi, nor,9.3,4500,7
931,"Brown, A.J.",ten, lac,9.2,5300,7
932,"Williams, Preston",mia,buf,9.2,5100,7
933,"Beasley, Cole",buf, mia,9.1,5600,7
934,"Hill, Taysom",nor,chi,9,6000,7
935,"Thielen, Adam",min,det,9,7100,7
936,"Sharpe, Tajae",ten, lac,8.9,4600,7
937,"Chark, D.J.",jac,cin,8.8,6600,7
938,"Sanders, Emmanuel",den, kan,8.5,5500,7
939,"Bourne, Kendrick",sfo,was,8.4,4500,7
940,"Allen, Keenan",lac,ten,8.1,7500,7
941,"Tate, Auden",cin, jac,8,5900,7
942,"Austin, Tavon",dal, phi,8,4500,7
943,"Kupp, Cooper",lar,atl,8,7800,7
944,"Cooks, Brandin",lar,atl,7.9,6700,7
945,"Brown, Jaron",sea, bal,7.5,5100,7
946,"Meyers, Jakobi",nwe,nyj,7.2,5300,7
947,"Wims, Javon",chi, nor,7.1,4500,7
948,"Doss, Keelan",oak,gnb,6.9,4500,7
949,"Hurns, Allen",mia,buf,6.8,4600,7
950,"Miller, Anthony",chi, nor,6.8,5100,7
951,"Williams, Mike",lac,ten,6.7,6200,7
952,"Cole, Keelan",jac,cin,6.7,4500,7
953,"Boykin, Miles",bal,sea,6.5,4700,7
954,"Boyd, Tyler",cin, jac,6,5600,7
955,"Humphries, Adam",ten, lac,6,5100,7
956,"Ginn Jr., Ted",nor,chi,5.8,5300,7
957,"Lazard, Allen",gnb, oak,5.7,4500,7
958,"Thomas, Demaryius",nyj, nwe,5.7,4800,7
959,"Fowler, Bennie",nyg, ari,5.5,4500,7
960,"Metcalf, D.K.",sea, bal,5.3,6200,7
961,"Allison, Geronimo",gnb, oak,5.3,5700,7
962,"Latimer, Cody",nyg, ari,5.3,4600,7
963,"Hall, Marvin",det, min,5.2,0,7
964,"Ridley, Calvin",atl, lar,5,5500,7
965,"Cooper, Pharoh",ari,nyg,4.9,4800,7
966,"Gallup, Michael",dal, phi,4.9,6300,7
967,"Jeffery, Alshon",phi,dal,4.8,6600,7
968,"Robinson, Demarcus",kan,den,4.6,5900,7
969,"Crowder, Jamison",nyj, nwe,4.6,5400,7
970,"James, Richie",sfo,was,4.5,4600,7
971,"Ateman, Marcell",oak,gnb,4.1,4500,7
972,"Quinn, Trey",was, sfo,4,4900,7
973,"Cobb, Randall",dal, phi,3.9,5300,7
974,"Slayton, Darius",nyg, ari,3.8,5400,7
975,"Davis, Trevor",oak,gnb,3.6,4900,7
976,"Agholor, Nelson",phi,dal,3.4,5100,7
